channelID,channel_name,channel_country,ad_percentage
UCdEczn3MVkx_4PnMZ10MVFA,Hoovies Garage,,6.41%
UCBw0bL8MtOIl1UX7db2MT3A,The Always Sunny Podcast,,6.40%
UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,IN,6.40%
UCiWXd0nmBjlKROwzMyPV-Nw,志祺七七 X 圖文不符,TW,6.40%
UCIGSeb72lRj7Jxlwt63OmMQ,Мой Компьютер,RU,6.39%
UCRPdsCVuH53rcbTcEkuY4uQ,Moore's Law Is Dead,,6.39%
UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,CA,6.39%
UCTbcSRduRJJTMaQhUVqywRw,Mentour Now!,GB,6.37%
UC-9QiiVaViuqMhLp1XEwdxA,Arlo,US,6.37%
UCE6acMV3m35znLcf0JGNn7Q,Gibi ASMR,US,6.36%
UCFmL725KKPx2URVPvH3Gp8w,ASMR Glow,US,6.35%
UCj_ARBxhCoF5JxUItcEUs7Q,DailyDrivenExotics,CA,6.35%
UCKZozRVHRYsYHGEyNKuhhdA,Think School,IN,6.34%
UCferfyAeOJAjS9GoI4td6gg,Canal PeeWee,BR,6.31%
UCb5TfGtSgvNPVPQawfCFuAw,WBS LEGAL,DE,6.30%
UCh29SdTOPdjBb-n3Vop1lYg,katyakonasova,RU,6.26%
UCBByzLy3MGJT8UMVLYLScNg,Гараж 54,RU,6.26%
UCC9mlCpyisiIpp9YA9xV-QA,Vilebrequin,FR,6.23%
UC6uFoHcr_EEK6DgCS-LeTNA,PRO Hi-Tech,RU,6.20%
UC3ltptWa0xfrDweghW94Acg,Karl Jobst,AU,6.20%
UC2bhfksrCXjguRr10mpkvag,СЛОВО ПАЦАНА,RU,6.16%
UCDaIW2zPRWhzQ9Hj7a0QP1w,Руслан Усачев,AE,6.15%
UCsaGKqPZnGp_7N80hcHySGQ,Tasting History with Max Miller,US,6.15%
UC1Fv5ATgw8RyX4Cj0xGo1WQ,Wazzup,PL,6.15%
UCMmaBzfCCwZ2KqaBJjkj0fw,Kings and Generals,CA,6.15%
UClnDI2sdehVm1zm_LmUHsjQ,Biographics,US,6.14%
UCLlSts9lJLf90vFFNx7le4w,Максим Шелков,RU,6.13%
UCb3cDvWiHwRzQaK81PrISbg,Leeja Miller,US,6.13%
